Run,UnixTime_midRun,runduration,Activity_mBq_per_m3,Uncertainty_mBq_per_m3,A_fit_T_cont,SE_A_fit_T_const, A_stat, SE_A_stat, Chi2,Ndf,Prob,TotEntry,mean_alpha_range,SE_mean_alpha_range
3027,1755719222,43201.000,122.119727343,2.497395826,122.317014968,2.426389032,122.603373004,2.328238592,49.799429810,47,0.362533651,2773,247.4173472412,1.3619976905
3028,1755743315,4966.000,105.785586224,6.708621957,107.692268020,6.571619364,108.080153636,6.447521417,41.553080658,47,0.696929741,281,248.9393476748,4.2096705281
3029,1755768008,43201.000,111.270466619,2.378625054,111.502558697,2.320954701,112.213256648,2.227400730,47.297946339,47,0.460386337,2538,248.9773821100,1.4111407452
3032,1755812506,43201.000,96.915210690,2.150053560,96.884460909,2.122842853,96.650188744,2.067176826,60.306303995,47,0.092058987,2186,248.4877119356,1.5419562357
3033,1755855716,43200.000,86.138681372,2.075603966,86.180266786,2.027899462,86.262069148,1.952950504,54.004755660,47,0.224393163,1951,252.2737943241,1.5693933644
3036,1755900969,43201.000,77.987392743,1.936304837,77.947701938,1.910459357,77.859552780,1.855377249,32.439572865,47,0.947602808,1761,249.6097014528,1.6968070979
3037,1755942924,40689.500,72.717689933,1.959123710,73.000004105,1.908201985,72.901329937,1.849906266,55.284408416,47,0.190312039,1553,251.8302429346,1.8123973484
3041,1756028485,41650.200,63.337098931,1.834251357,63.315204395,1.773263148,63.102663591,1.701133803,54.950673117,47,0.198829854,1376,249.9098985740,1.9315400373
3044,1756072207,43201.000,64.830227220,1.740403023,64.839572281,1.681927954,63.976588798,1.681848276,46.028772514,47,0.512733627,1447,250.9051485315,1.8845566627
3045,1756101464,15294.400,63.629350336,3.133761186,64.239350622,2.801277078,62.817679508,2.800901892,42.630763485,47,0.653966086,503,247.5595936496,3.1570198283
3061,1756154348,43201.000,65.556893788,1.887734783,65.802609714,1.818735583,66.850450769,1.719208083,41.703302790,47,0.691040941,1512,248.3295446226,1.8078186229
3062,1756197558,43201.000,71.643766511,1.859057094,72.198227463,1.815848058,71.846549272,1.782293534,52.726519188,47,0.262261060,1625,246.8390592060,1.7603033582
3065,1756242302,43201.000,78.180125245,1.941099509,78.222704511,1.911340144,78.080619086,1.858009364,34.002836689,47,0.921958154,1766,250.3072831535,1.7305345949
3066,1756285513,43201.000,90.036091762,2.157046023,90.415911403,2.082489406,90.416118930,1.999397778,52.495898620,47,0.269493793,2045,246.3318977018,1.5969321069
3069,1756318274,19720.000,106.929805084,3.467279599,105.771074920,3.386148917,106.641625695,3.213905461,48.844731585,47,0.398803642,1101,246.2069029549,2.1295242861
3070,1756350578,43201.000,113.612180232,2.399252577,112.980166932,2.347268249,113.451227958,2.239653715,48.306471699,47,0.419881437,2566,245.5280235482,1.4213709456
3071,1756377814,11250.000,114.493903617,4.622911969,114.223218424,4.499894075,112.226465605,4.365103604,34.614254556,47,0.909950901,661,249.9839487833,2.7789131283
3076,1756418082,38855.000,109.050784871,2.513334374,108.414580695,2.457244193,109.967770316,2.325050699,48.573073593,47,0.409389362,2237,247.5122662978,1.5100605249
3077,1756459906,43201.000,101.160287731,2.206219458,101.118168189,2.177596142,101.115728114,2.114392605,42.478375321,47,0.660134212,2287,246.1051860409,1.5100631808
3080,1756504306,43201.000,86.900342855,2.124722927,86.729068158,2.070079904,87.630683481,1.968359288,42.116257919,47,0.674676724,1982,249.1285081469,1.6114525837
3081,1756543526,35218.300,86.835868500,2.245438926,87.056348452,2.205619373,86.396019914,2.164640840,56.069718889,47,0.171293192,1593,253.1159687145,1.7854416696
3084,1756543526,35218.300,-0.002711739,0.000000000,-0.002711739,45.407954185,0.000000000,0.000000000,0.000000000,47,1.000000000,0,0.0000000000,0.0000000000
3085,1756627264,43201.000,62.049277583,1.786899281,61.530390087,1.755138128,62.208058354,1.658439365,68.708973296,47,0.021097368,1407,247.6550005535,1.9497852433
3088,1756651956,3641.000,56.183082134,6.588896547,57.260270532,5.986414134,58.230249177,5.526970660,46.482258817,47,0.493898343,111,256.1944212683,6.8642256684
3105,1756742075,16143.000,77.007987666,3.303072658,75.793373166,3.196113092,76.553734669,3.009637865,48.284256384,47,0.420760145,647,251.9034734347,2.8963350225
3107,1756805676,43201.000,66.563927781,1.823723653,66.370444037,1.787424437,66.496744680,1.714653882,52.826927025,47,0.259149871,1504,248.2169100904,1.8229413176
3110,1756837275,17615.000,61.924992752,2.935896259,63.166296935,2.794449907,64.192665267,2.638302291,56.243330871,47,0.167281049,592,249.5255570735,2.7805552559
3111,1756852158,10170.000,63.207860391,3.571946699,62.933578118,3.544618657,63.105131075,3.442667142,49.131823539,47,0.387738965,336,253.1798398831,3.8789249970
3113,1756903858,20815.800,60.028662034,2.528715570,59.684771986,2.479625862,60.286297413,2.351992470,51.205232688,47,0.312148228,657,246.4820905948,2.6976933983
3116,1756935289,39699.000,61.779786705,1.950756772,61.743228609,1.869199152,63.317341333,1.745399013,53.263394472,47,0.245894608,1316,245.4501740263,2.0124721491
3117,1756977858,43201.000,66.360302633,1.848265343,66.412792766,1.796154171,66.762024247,1.718070665,37.555095014,47,0.836032195,1510,248.9393007629,1.8201046250
3120,1757022195,43201.000,70.058571409,1.873401615,69.812720203,1.827063854,69.591672956,1.754102279,53.619686506,47,0.235401098,1574,245.4211709491,1.8061910382
